0_0: transcript:QX1410.16786.1
0_3241: transcript:QX1410.19009.1
0_3242: transcript:QX1410.19010.1
0_3243: transcript:QX1410.19011.1
0_3244: transcript:QX1410.19012.1
0_3245: transcript:QX1410.19012.2
0_3246: transcript:QX1410.19013.1
0_3247: transcript:QX1410.19013.2
0_3248: transcript:QX1410.19013.3
0_3249: transcript:QX1410.19014.1
0_3250: transcript:QX1410.19015.1
0_3251: transcript:QX1410.19016.1
0_3252: transcript:QX1410.19017.1
0_3253: transcript:QX1410.19018.1
0_3254: transcript:QX1410.19019.1
0_3255: transcript:QX1410.19020.1
0_3256: transcript:QX1410.19021.1
0_3257: transcript:QX1410.19021.2
0_3258: transcript:QX1410.19022.1
0_3259: transcript:QX1410.19023.1
0_3260: transcript:QX1410.19023.2
0_3261: transcript:QX1410.19023.3
0_3262: transcript:QX1410.19024.1
0_3263: transcript:QX1410.19024.2
0_3264: transcript:QX1410.19025.1
0_3265: transcript:QX1410.19025.2
0_3266: transcript:QX1410.19025.3
0_3267: transcript:QX1410.19025.4
0_3268: transcript:QX1410.19025.5
0_3269: transcript:QX1410.19025.6
0_3270: transcript:QX1410.19026.1
0_3271: transcript:QX1410.19027.1
0_3272: transcript:QX1410.19028.1
0_3273: transcript:QX1410.19028.2
0_3274: transcript:QX1410.19029.1
0_3275: transcript:QX1410.19029.2
0_3276: transcript:QX1410.19029.3
0_3277: transcript:QX1410.19029.4
0_3278: transcript:QX1410.19029.5
0_3279: transcript:QX1410.19030.1
0_3280: transcript:QX1410.19030.2
0_3281: transcript:QX1410.19030.3
0_3282: transcript:QX1410.19030.4
0_3283: transcript:QX1410.19030.5
0_3284: transcript:QX1410.19030.6
0_3285: transcript:QX1410.19030.7
0_3286: transcript:QX1410.19030.8
0_3287: transcript:QX1410.19031.1
0_3288: transcript:QX1410.19032.1
0_3289: transcript:QX1410.19032.2
0_3290: transcript:QX1410.19032.3
0_3291: transcript:QX1410.19033.1
0_3292: transcript:QX1410.19034.1
0_3293: transcript:QX1410.19034.2
0_3294: transcript:QX1410.19034.3
0_3295: transcript:QX1410.19034.4
0_3296: transcript:QX1410.19035.1
0_3297: transcript:QX1410.19035.2
0_3298: transcript:QX1410.19036.1
0_3299: transcript:QX1410.19037.1
0_3300: transcript:QX1410.19037.2
0_3301: transcript:QX1410.19037.3
0_3302: transcript:QX1410.19038.1
0_3303: transcript:QX1410.19037.4
0_3304: transcript:QX1410.19037.5
0_3305: transcript:QX1410.19039.1
0_3306: transcript:QX1410.19039.2
0_3307: transcript:QX1410.19040.1
0_3308: transcript:QX1410.19041.1
0_3309: transcript:QX1410.19041.2
0_3310: transcript:QX1410.19042.1
0_3311: transcript:QX1410.19043.1
0_3312: transcript:QX1410.19044.1
0_3313: transcript:QX1410.19044.2
0_3314: transcript:QX1410.19044.3
0_3315: transcript:QX1410.19044.4
0_3316: transcript:QX1410.19045.1
0_3317: transcript:QX1410.19045.2
0_3318: transcript:QX1410.19045.3
0_3319: transcript:QX1410.19045.4
0_3320: transcript:QX1410.19045.5
0_3321: transcript:QX1410.19046.1
0_3322: transcript:QX1410.19046.2
0_3323: transcript:QX1410.19047.1
0_3324: transcript:QX1410.19047.2
0_3325: transcript:QX1410.19048.1
0_3326: transcript:QX1410.19048.2
0_3327: transcript:QX1410.19048.3
0_3328: transcript:QX1410.19049.1
0_3329: transcript:QX1410.19049.2
0_3330: transcript:QX1410.19049.3
0_3331: transcript:QX1410.19050.1
0_3332: transcript:QX1410.19051.1
0_3333: transcript:QX1410.19052.1
0_3334: transcript:QX1410.19053.1
0_3335: transcript:QX1410.19054.1
0_3336: transcript:QX1410.19055.1
0_3337: transcript:QX1410.19055.2
0_3338: transcript:QX1410.19055.3
0_3339: transcript:QX1410.19055.4
0_3340: transcript:QX1410.19056.1
0_3341: transcript:QX1410.19057.1
0_3342: transcript:QX1410.19058.1
0_3343: transcript:QX1410.19058.2
0_3344: transcript:QX1410.19058.3
0_3345: transcript:QX1410.19058.4
0_3346: transcript:QX1410.19058.5
0_3347: transcript:QX1410.19058.6
0_3348: transcript:QX1410.19059.1
0_3349: transcript:QX1410.19059.2
0_3350: transcript:QX1410.19060.1
0_3351: transcript:QX1410.19060.2
0_3352: transcript:QX1410.19060.3
0_3353: transcript:QX1410.19061.1
0_3354: transcript:QX1410.19061.2
0_3355: transcript:QX1410.19062.1
0_3356: transcript:QX1410.19062.2
0_3357: transcript:QX1410.19063.1
0_3358: transcript:QX1410.19063.2
0_3359: transcript:QX1410.19064.1
0_3360: transcript:QX1410.19064.2
0_3361: transcript:QX1410.19064.3
0_3362: transcript:QX1410.19065.1
0_3363: transcript:QX1410.19065.2
0_3364: transcript:QX1410.19066.1
0_3365: transcript:QX1410.19067.1
0_3366: transcript:QX1410.19068.1
0_3367: transcript:QX1410.19069.1
0_3368: transcript:QX1410.19070.1
0_3369: transcript:QX1410.19071.1
0_3370: transcript:QX1410.19072.1
0_3371: transcript:QX1410.19073.1
0_3372: transcript:QX1410.19074.1
0_3373: transcript:QX1410.19075.1
0_3374: transcript:QX1410.19075.2
0_3375: transcript:QX1410.19076.1
0_3376: transcript:QX1410.19076.2
0_3377: transcript:QX1410.19077.1
0_3378: transcript:QX1410.19077.2
0_3379: transcript:QX1410.19078.1
0_3380: transcript:QX1410.19078.2
0_3381: transcript:QX1410.19079.1
0_3382: transcript:QX1410.19080.1
0_3383: transcript:QX1410.19081.1
0_3384: transcript:QX1410.19081.2
0_3385: transcript:QX1410.19082.1
0_3386: transcript:QX1410.19082.2
0_3387: transcript:QX1410.19082.3
0_3388: transcript:QX1410.19082.4
0_3389: transcript:QX1410.19082.5
0_3390: transcript:QX1410.19083.1
0_3391: transcript:QX1410.19084.1
0_3392: transcript:QX1410.19084.2
0_3393: transcript:QX1410.19085.1
0_3394: transcript:QX1410.19086.1
0_3395: transcript:QX1410.19086.2
0_3396: transcript:QX1410.19086.3
0_3397: transcript:QX1410.19086.4
0_3398: transcript:QX1410.19087.1
0_3399: transcript:QX1410.19088.1
0_3400: transcript:QX1410.19089.1
0_3401: transcript:QX1410.19089.2
0_3402: transcript:QX1410.19090.1
0_3403: transcript:QX1410.19091.1
0_3404: transcript:QX1410.19092.1
0_3405: transcript:QX1410.19093.1
0_3406: transcript:QX1410.19094.1
0_3407: transcript:QX1410.19095.1
0_3408: transcript:QX1410.19096.1
0_3409: transcript:QX1410.19096.2
0_3410: transcript:QX1410.19096.3
0_3411: transcript:QX1410.19097.1
0_3412: transcript:QX1410.19098.1
0_3413: transcript:QX1410.19099.1
0_3414: transcript:QX1410.19100.1
0_3415: transcript:QX1410.19100.2
0_3416: transcript:QX1410.19101.1
0_3417: transcript:QX1410.19102.1
0_3418: transcript:QX1410.19103.1
0_3419: transcript:QX1410.19104.1
0_3420: transcript:QX1410.19105.1
0_3421: transcript:QX1410.19105.2
0_3422: transcript:QX1410.19106.1
0_3423: transcript:QX1410.19106.2
0_3424: transcript:QX1410.19106.3
0_3425: transcript:QX1410.19107.1
0_3426: transcript:QX1410.19108.1
0_3427: transcript:QX1410.19108.2
0_3428: transcript:QX1410.19108.3
0_3429: transcript:QX1410.19109.1
0_3430: transcript:QX1410.19109.2
0_3431: transcript:QX1410.19110.1
0_3432: transcript:QX1410.19111.1
0_3433: transcript:QX1410.19111.2
0_3434: transcript:QX1410.19112.1
0_3435: transcript:QX1410.19112.2
0_3436: transcript:QX1410.19113.1
0_3437: transcript:QX1410.19114.1
0_3438: transcript:QX1410.19114.2
0_3439: transcript:QX1410.19115.1
0_3440: transcript:QX1410.19115.2
0_3441: transcript:QX1410.19115.3
0_3442: transcript:QX1410.19115.4
0_3443: transcript:QX1410.19116.1
0_3444: transcript:QX1410.19116.2
0_3445: transcript:QX1410.19116.3
0_3446: transcript:QX1410.19117.1
0_3447: transcript:QX1410.19118.1
0_3448: transcript:QX1410.19118.2
0_3449: transcript:QX1410.19119.1
0_3450: transcript:QX1410.19120.1
0_3451: transcript:QX1410.19121.1
0_3452: transcript:QX1410.19121.2
0_3453: transcript:QX1410.19122.1
0_3454: transcript:QX1410.19123.1
0_3455: transcript:QX1410.19124.1
0_3456: transcript:QX1410.19124.2
0_3457: transcript:QX1410.19124.3
0_3458: transcript:QX1410.19124.4
0_3459: transcript:QX1410.19124.5
0_3460: transcript:QX1410.19124.6
0_3461: transcript:QX1410.19124.7
0_3462: transcript:QX1410.19125.1
0_3463: transcript:QX1410.19126.1
0_3464: transcript:QX1410.19127.1
0_3465: transcript:QX1410.19128.1
0_3466: transcript:QX1410.19128.2
0_3467: transcript:QX1410.19128.3
0_3468: transcript:QX1410.19128.4
0_3469: transcript:QX1410.19129.1
0_3470: transcript:QX1410.19130.1
0_3471: transcript:QX1410.19131.1
0_3472: transcript:QX1410.19132.1
0_3473: transcript:QX1410.19133.1
0_3474: transcript:QX1410.19134.1
0_3475: transcript:QX1410.19134.2
0_3476: transcript:QX1410.19135.1
0_3477: transcript:QX1410.19135.2
0_3478: transcript:QX1410.19136.1
0_3479: transcript:QX1410.19136.2
0_3480: transcript:QX1410.19136.3
0_3481: transcript:QX1410.19137.1
0_3482: transcript:QX1410.19138.1
0_3483: transcript:QX1410.19138.2
0_3484: transcript:QX1410.19139.1
0_3485: transcript:QX1410.19140.1
0_3486: transcript:QX1410.19140.2
0_3487: transcript:QX1410.19140.3
0_3488: transcript:QX1410.19140.4
0_3489: transcript:QX1410.19140.5
0_3490: transcript:QX1410.19140.6
0_3491: transcript:QX1410.19141.1
0_3492: transcript:QX1410.19142.1
0_3493: transcript:QX1410.19143.1
0_3494: transcript:QX1410.19143.2
0_3495: transcript:QX1410.19144.1
0_3496: transcript:QX1410.19144.2
0_3497: transcript:QX1410.19144.3
0_3498: transcript:QX1410.19145.1
0_3499: transcript:QX1410.19145.2
0_3500: transcript:QX1410.19145.3
0_3501: transcript:QX1410.19146.1
0_3502: transcript:QX1410.19146.2
0_3503: transcript:QX1410.19146.3
0_3504: transcript:QX1410.19147.1
0_3505: transcript:QX1410.19147.2
0_3506: transcript:QX1410.19148.1
0_3507: transcript:QX1410.19149.1
0_3508: transcript:QX1410.19149.2
0_3509: transcript:QX1410.19150.1
0_3510: transcript:QX1410.19151.1
0_3511: transcript:QX1410.19152.1
0_3512: transcript:QX1410.19153.1
0_3513: transcript:QX1410.19154.1
0_3514: transcript:QX1410.19155.1
0_3515: transcript:QX1410.19156.1
0_3516: transcript:QX1410.19157.1
0_3517: transcript:QX1410.19158.1
0_3518: transcript:QX1410.19159.1
0_3519: transcript:QX1410.19160.1
0_3520: transcript:QX1410.19161.1
0_3521: transcript:QX1410.19162.1
0_3522: transcript:QX1410.19163.1
0_3523: transcript:QX1410.19164.1
0_3524: transcript:QX1410.19165.1
0_3525: transcript:QX1410.19165.2
0_3526: transcript:QX1410.19165.3
0_3527: transcript:QX1410.19166.1
0_3528: transcript:QX1410.19167.1
0_3529: transcript:QX1410.19168.1
0_3530: transcript:QX1410.19169.1
0_3531: transcript:QX1410.19170.1
0_3532: transcript:QX1410.19171.1
0_3533: transcript:QX1410.19172.1
0_3534: transcript:QX1410.19172.2
0_3535: transcript:QX1410.19173.1
0_3536: transcript:QX1410.19174.1
0_3537: transcript:QX1410.19174.2
0_3538: transcript:QX1410.19174.3
0_3539: transcript:QX1410.19175.1
0_3540: transcript:QX1410.19176.1
0_3541: transcript:QX1410.19177.1
0_3542: transcript:QX1410.19178.1
0_3543: transcript:QX1410.19179.1
0_3544: transcript:QX1410.19180.1
0_3545: transcript:QX1410.19181.1
0_3546: transcript:QX1410.19182.1
0_3547: transcript:QX1410.19183.1
0_3548: transcript:QX1410.19184.1
0_3549: transcript:QX1410.19185.1
0_3550: transcript:QX1410.19185.2
0_3551: transcript:QX1410.19185.3
0_3552: transcript:QX1410.19186.1
0_3553: transcript:QX1410.19186.2
0_3554: transcript:QX1410.19187.1
0_3555: transcript:QX1410.19187.2
0_3556: transcript:QX1410.19187.3
0_3557: transcript:QX1410.19188.1
0_3558: transcript:QX1410.19189.1
0_3559: transcript:QX1410.19190.1
0_3560: transcript:QX1410.19191.1
0_3561: transcript:QX1410.19191.2
0_3562: transcript:QX1410.19191.3
0_3563: transcript:QX1410.19192.1
0_3564: transcript:QX1410.19192.2
0_3565: transcript:QX1410.19192.3
0_3566: transcript:QX1410.19192.4
0_3567: transcript:QX1410.19193.1
0_3568: transcript:QX1410.19194.1
0_3569: transcript:QX1410.19195.1
0_3570: transcript:QX1410.19195.2
0_3571: transcript:QX1410.19196.1
0_3572: transcript:QX1410.19197.1
0_3573: transcript:QX1410.19197.2
0_3574: transcript:QX1410.19197.3
0_3575: transcript:QX1410.19197.4
0_3576: transcript:QX1410.19197.5
0_3577: transcript:QX1410.19198.1
0_3578: transcript:QX1410.19199.1
0_3579: transcript:QX1410.19200.1
0_3580: transcript:QX1410.19200.2
0_3581: transcript:QX1410.19200.3
0_3582: transcript:QX1410.19201.1
0_3583: transcript:QX1410.19202.1
0_3584: transcript:QX1410.19203.1
0_3585: transcript:QX1410.19204.1
0_3586: transcript:QX1410.19205.1
0_3587: transcript:QX1410.19206.1
0_3588: transcript:QX1410.19206.2
0_3589: transcript:QX1410.19207.1
0_3590: transcript:QX1410.19208.1
0_3591: transcript:QX1410.19209.1
0_3592: transcript:QX1410.19210.1
0_3593: transcript:QX1410.19211.1
0_3594: transcript:QX1410.19211.2
0_3595: transcript:QX1410.19211.3
0_3596: transcript:QX1410.19212.1
0_3597: transcript:QX1410.19212.2
0_3598: transcript:QX1410.19213.1
0_3599: transcript:QX1410.19214.1
0_3600: transcript:QX1410.19215.1
0_3601: transcript:QX1410.19216.1
0_3602: transcript:QX1410.19217.1
0_3603: transcript:QX1410.19218.1
0_3604: transcript:QX1410.19218.2
0_3605: transcript:QX1410.19218.3
0_3606: transcript:QX1410.19218.4
0_3607: transcript:QX1410.19218.5
0_3608: transcript:QX1410.19219.1
0_3609: transcript:QX1410.19219.2
0_3610: transcript:QX1410.19219.3
0_3611: transcript:QX1410.19219.4
0_3612: transcript:QX1410.19220.1
0_3613: transcript:QX1410.19220.2
0_3614: transcript:QX1410.19221.1
0_3615: transcript:QX1410.19222.1
0_3616: transcript:QX1410.19222.2
0_3617: transcript:QX1410.19222.3
0_3618: transcript:QX1410.19223.1
0_3619: transcript:QX1410.19223.2
0_3620: transcript:QX1410.19223.3
0_3621: transcript:QX1410.19223.4
0_3622: transcript:QX1410.19224.1
0_3623: transcript:QX1410.19225.1
0_3624: transcript:QX1410.19226.1
0_3625: transcript:QX1410.19226.2
0_3626: transcript:QX1410.19227.1
0_3627: transcript:QX1410.19227.2
0_3628: transcript:QX1410.19228.1
0_3629: transcript:QX1410.19229.1
0_3630: transcript:QX1410.19229.2
0_3631: transcript:QX1410.19229.3
0_3632: transcript:QX1410.19230.1
0_3633: transcript:QX1410.19231.1
0_3634: transcript:QX1410.19232.1
0_3635: transcript:QX1410.19233.1
0_3636: transcript:QX1410.19234.1
0_3637: transcript:QX1410.19234.2
0_3638: transcript:QX1410.19235.1
0_3639: transcript:QX1410.19236.1
0_3640: transcript:QX1410.19237.1
0_3641: transcript:QX1410.19238.1
0_3642: transcript:QX1410.19239.1
0_3643: transcript:QX1410.19240.1
0_3644: transcript:QX1410.19241.1
0_3645: transcript:QX1410.19242.1
0_3646: transcript:QX1410.19242.2
0_3647: transcript:QX1410.19242.3
0_3648: transcript:QX1410.19243.1
0_3649: transcript:QX1410.19244.1
0_3650: transcript:QX1410.19245.1
0_3651: transcript:QX1410.19245.2
0_3652: transcript:QX1410.19246.1
0_3653: transcript:QX1410.19247.1
0_3654: transcript:QX1410.19247.2
0_3655: transcript:QX1410.19248.1
0_3656: transcript:QX1410.19249.1
0_3657: transcript:QX1410.19249.2
0_3658: transcript:QX1410.19249.3
0_3659: transcript:QX1410.19249.4
0_3660: transcript:QX1410.19250.1
0_3661: transcript:QX1410.19251.1
0_3662: transcript:QX1410.19251.2
0_3663: transcript:QX1410.19251.3
0_3664: transcript:QX1410.19251.4
0_3665: transcript:QX1410.19252.1
0_3666: transcript:QX1410.19253.1
0_3667: transcript:QX1410.19254.1
0_3668: transcript:QX1410.19255.1
0_3669: transcript:QX1410.19255.2
0_3670: transcript:QX1410.19255.3
0_3671: transcript:QX1410.19256.1
0_3672: transcript:QX1410.19257.1
0_3673: transcript:QX1410.19258.1
0_3674: transcript:QX1410.19259.1
0_3675: transcript:QX1410.19259.2
0_3676: transcript:QX1410.19260.1
0_3677: transcript:QX1410.19260.2
0_3678: transcript:QX1410.19261.1
0_3679: transcript:QX1410.19262.1
0_3680: transcript:QX1410.19263.1
0_3681: transcript:QX1410.19263.2
0_3682: transcript:QX1410.19264.1
0_3683: transcript:QX1410.19265.1
0_3684: transcript:QX1410.19266.1
0_3685: transcript:QX1410.19267.1
0_3686: transcript:QX1410.19267.2
0_3687: transcript:QX1410.19268.1
0_3688: transcript:QX1410.19268.2
0_3689: transcript:QX1410.19269.1
0_3690: transcript:QX1410.19269.2
0_3691: transcript:QX1410.19270.1
0_3692: transcript:QX1410.19270.2
0_3693: transcript:QX1410.19271.1
0_3694: transcript:QX1410.19272.1
0_3695: transcript:QX1410.19272.2
0_3696: transcript:QX1410.19273.1
0_3697: transcript:QX1410.19273.2
0_3698: transcript:QX1410.19273.3
0_3699: transcript:QX1410.19272.3
0_3700: transcript:QX1410.19274.1
0_3701: transcript:QX1410.19272.4
0_3702: transcript:QX1410.19275.1
0_3703: transcript:QX1410.19275.2
0_3704: transcript:QX1410.19275.3
0_3705: transcript:QX1410.19275.4
0_3706: transcript:QX1410.19276.1
0_3707: transcript:QX1410.19277.1
0_3708: transcript:QX1410.19278.1
0_3709: transcript:QX1410.19279.1
0_3710: transcript:QX1410.19279.2
0_3711: transcript:QX1410.19280.1
0_3712: transcript:QX1410.19280.2
0_3713: transcript:QX1410.19281.1
0_3714: transcript:QX1410.19281.2
0_3715: transcript:QX1410.19282.1
0_3716: transcript:QX1410.19283.1
0_3717: transcript:QX1410.19282.2
0_3718: transcript:QX1410.19284.1
0_3719: transcript:QX1410.19285.1
0_3720: transcript:QX1410.19286.1
0_3721: transcript:QX1410.19287.1
0_3722: transcript:QX1410.19287.2
0_3723: transcript:QX1410.19287.3
0_3724: transcript:QX1410.19288.1
0_3725: transcript:QX1410.19288.2
0_3726: transcript:QX1410.19289.1
0_3727: transcript:QX1410.19290.1
0_3728: transcript:QX1410.19290.2
0_3729: transcript:QX1410.19290.3
0_3730: transcript:QX1410.19290.4
0_3731: transcript:QX1410.19290.5
0_3732: transcript:QX1410.19291.1
0_3733: transcript:QX1410.19292.1
0_3734: transcript:QX1410.19292.2
0_3735: transcript:QX1410.19292.3
0_3736: transcript:QX1410.19293.1
0_3737: transcript:QX1410.19293.2
0_3738: transcript:QX1410.19294.1
0_3739: transcript:QX1410.19294.2
0_3740: transcript:QX1410.19295.1
0_3741: transcript:QX1410.19296.1
0_3742: transcript:QX1410.19297.1
0_3743: transcript:QX1410.19297.2
0_3744: transcript:QX1410.19298.1
0_3745: transcript:QX1410.19298.2
0_3746: transcript:QX1410.19299.1
0_3747: transcript:QX1410.19300.1
0_3748: transcript:QX1410.19300.2
0_3749: transcript:QX1410.19301.1
0_3750: transcript:QX1410.19301.2
0_3751: transcript:QX1410.19302.1
0_3752: transcript:QX1410.19303.1
0_3753: transcript:QX1410.19303.2
0_3754: transcript:QX1410.19304.1
0_3755: transcript:QX1410.19305.1
0_3756: transcript:QX1410.19306.1
0_3757: transcript:QX1410.19307.1
0_3758: transcript:QX1410.19308.1
0_3759: transcript:QX1410.19308.2
0_3760: transcript:QX1410.19308.3
0_3761: transcript:QX1410.19309.1
0_3762: transcript:QX1410.19310.1
0_3763: transcript:QX1410.19310.2
0_3764: transcript:QX1410.19311.1
0_3765: transcript:QX1410.19312.1
0_3766: transcript:QX1410.19313.1
0_3767: transcript:QX1410.19314.1
0_3768: transcript:QX1410.19314.2
0_3769: transcript:QX1410.19315.1
0_3770: transcript:QX1410.19316.1
0_3771: transcript:QX1410.19317.1
0_3772: transcript:QX1410.19317.2
0_3773: transcript:QX1410.19318.1
0_3774: transcript:QX1410.19318.2
0_3775: transcript:QX1410.19319.1
0_3776: transcript:QX1410.19319.2
0_3777: transcript:QX1410.19320.1
0_3778: transcript:QX1410.19320.2
0_3779: transcript:QX1410.19320.3
0_3780: transcript:QX1410.19321.1
0_3781: transcript:QX1410.19322.1
0_3782: transcript:QX1410.19323.1
0_3783: transcript:QX1410.19324.1
0_3784: transcript:QX1410.19325.1
0_3785: transcript:QX1410.19325.2
0_3786: transcript:QX1410.19326.1
0_3787: transcript:QX1410.19326.2
0_3788: transcript:QX1410.19326.3
0_3789: transcript:QX1410.19326.4
0_3790: transcript:QX1410.19326.5
0_3791: transcript:QX1410.19327.1
0_3792: transcript:QX1410.19327.2
0_3793: transcript:QX1410.19328.1
0_3794: transcript:QX1410.19328.2
0_3795: transcript:QX1410.19329.1
0_3796: transcript:QX1410.19330.1
0_3797: transcript:QX1410.19330.2
0_3798: transcript:QX1410.19331.1
0_3799: transcript:QX1410.19331.2
0_3800: transcript:QX1410.19331.3
0_3801: transcript:QX1410.19331.4
0_3802: transcript:QX1410.19331.5
0_3803: transcript:QX1410.19331.6
0_3804: transcript:QX1410.19332.1
0_3805: transcript:QX1410.19333.1
0_3806: transcript:QX1410.19334.1
0_3807: transcript:QX1410.19335.1
0_3808: transcript:QX1410.19336.1
0_3809: transcript:QX1410.19336.2
0_3810: transcript:QX1410.19337.1
0_3811: transcript:QX1410.19337.10
0_3812: transcript:QX1410.19337.11
0_3813: transcript:QX1410.19337.12
0_3814: transcript:QX1410.19337.2
0_3815: transcript:QX1410.19337.3
0_3816: transcript:QX1410.19337.4
0_3817: transcript:QX1410.19337.5
0_3818: transcript:QX1410.19337.6
0_3819: transcript:QX1410.19337.7
0_3820: transcript:QX1410.19337.8
0_3821: transcript:QX1410.19337.9
0_3822: transcript:QX1410.19337.13
0_3823: transcript:QX1410.19337.14
0_3824: transcript:QX1410.19337.15
0_3825: transcript:QX1410.19338.1
0_3826: transcript:QX1410.19339.1
0_3827: transcript:QX1410.19339.2
0_3828: transcript:QX1410.19340.1
0_3829: transcript:QX1410.19340.2
0_3830: transcript:QX1410.19341.1
0_3831: transcript:QX1410.19342.1
0_3832: transcript:QX1410.19343.1
0_3833: transcript:QX1410.19344.1
0_3834: transcript:QX1410.19345.1
0_3835: transcript:QX1410.19346.1
0_3836: transcript:QX1410.19347.1
0_3837: transcript:QX1410.19347.2
0_3838: transcript:QX1410.19348.1
0_3839: transcript:QX1410.19348.2
0_3840: transcript:QX1410.19349.1
0_3841: transcript:QX1410.19350.1
0_3842: transcript:QX1410.19351.1
0_3843: transcript:QX1410.19352.1
0_3844: transcript:QX1410.19353.1
0_3845: transcript:QX1410.19353.2
0_3846: transcript:QX1410.19354.1
0_3847: transcript:QX1410.19355.1
0_3848: transcript:QX1410.19356.1
0_3849: transcript:QX1410.19356.2
0_3850: transcript:QX1410.19356.3
0_3851: transcript:QX1410.19357.1
0_3852: transcript:QX1410.19357.2
0_3853: transcript:QX1410.19357.3
0_3854: transcript:QX1410.19358.1
0_3855: transcript:QX1410.19358.2
0_3856: transcript:QX1410.19358.3
0_3857: transcript:QX1410.19359.1
0_3858: transcript:QX1410.19360.1
0_3859: transcript:QX1410.19361.1
0_3860: transcript:QX1410.19361.2
0_3861: transcript:QX1410.19362.1
0_3862: transcript:QX1410.19363.1
0_3863: transcript:QX1410.19363.2
0_3864: transcript:QX1410.19363.3
0_3865: transcript:QX1410.19364.1
0_3866: transcript:QX1410.19364.2
0_3867: transcript:QX1410.19364.3
0_3868: transcript:QX1410.19364.4
0_3869: transcript:QX1410.19364.5
0_3870: transcript:QX1410.19365.1
0_3871: transcript:QX1410.19366.1
0_3872: transcript:QX1410.19366.2
0_3873: transcript:QX1410.19366.3
0_3874: transcript:QX1410.19367.1
0_3875: transcript:QX1410.19367.2
0_3876: transcript:QX1410.19367.3
0_3877: transcript:QX1410.19368.1
0_3878: transcript:QX1410.19368.2
0_3879: transcript:QX1410.19368.3
0_3880: transcript:QX1410.19368.4
0_3881: transcript:QX1410.19369.1
0_3882: transcript:QX1410.19369.2
0_3883: transcript:QX1410.19369.3
0_3884: transcript:QX1410.19370.1
0_3885: transcript:QX1410.19371.1
0_3886: transcript:QX1410.19371.2
0_3887: transcript:QX1410.19371.3
0_3888: transcript:QX1410.19372.1
0_3889: transcript:QX1410.19373.1
0_3890: transcript:QX1410.19373.2
0_3891: transcript:QX1410.19373.3
0_3892: transcript:QX1410.19374.1
0_3893: transcript:QX1410.19374.2
0_3894: transcript:QX1410.19374.3
0_3895: transcript:QX1410.19375.1
0_3896: transcript:QX1410.19376.1
0_3897: transcript:QX1410.19376.2
0_3898: transcript:QX1410.19377.1
0_3899: transcript:QX1410.19377.2
0_3900: transcript:QX1410.19378.1
0_3901: transcript:QX1410.19379.1
0_3902: transcript:QX1410.19379.2
0_3903: transcript:QX1410.19380.1
0_3904: transcript:QX1410.19381.1
0_3905: transcript:QX1410.19382.1
0_3906: transcript:QX1410.19382.2
0_3907: transcript:QX1410.19382.3
0_3908: transcript:QX1410.19382.4
0_3909: transcript:QX1410.19383.1
0_3910: transcript:QX1410.19384.1
0_3911: transcript:QX1410.19384.2
0_3912: transcript:QX1410.19385.1
0_3913: transcript:QX1410.19385.2
0_3914: transcript:QX1410.19386.1
0_3915: transcript:QX1410.19387.1
0_3916: transcript:QX1410.19387.2
0_3917: transcript:QX1410.19388.1
0_3918: transcript:QX1410.19388.2
0_3919: transcript:QX1410.19389.1
0_3920: transcript:QX1410.19390.1
0_3921: transcript:QX1410.19390.2
0_3922: transcript:QX1410.19391.1
0_3923: transcript:QX1410.19392.1
0_3924: transcript:QX1410.19393.1
0_3925: transcript:QX1410.19394.1
0_3926: transcript:QX1410.19394.2
0_3927: transcript:QX1410.19394.3
0_3928: transcript:QX1410.19394.4
0_3929: transcript:QX1410.19394.5
0_3930: transcript:QX1410.19394.6
0_3931: transcript:QX1410.19395.1
0_3932: transcript:QX1410.19396.1
0_3933: transcript:QX1410.19397.1
0_3934: transcript:QX1410.19397.2
0_3935: transcript:QX1410.19398.1
0_3936: transcript:QX1410.19398.2
0_3937: transcript:QX1410.19399.1
0_3938: transcript:QX1410.19399.2
0_3939: transcript:QX1410.19399.3
0_3940: transcript:QX1410.19400.1
0_3941: transcript:QX1410.19401.1
0_3942: transcript:QX1410.19401.2
0_3943: transcript:QX1410.19402.1
0_3944: transcript:QX1410.19403.1
0_3945: transcript:QX1410.19403.2
0_3946: transcript:QX1410.19403.3
0_3947: transcript:QX1410.19404.1
0_3948: transcript:QX1410.19405.1
0_3949: transcript:QX1410.19406.1
0_3950: transcript:QX1410.19406.2
0_3951: transcript:QX1410.19407.1
0_3952: transcript:QX1410.19407.2
0_3953: transcript:QX1410.19408.1
0_3954: transcript:QX1410.19409.1
0_3955: transcript:QX1410.19409.2
0_3956: transcript:QX1410.19410.1
0_3957: transcript:QX1410.19410.2
0_3958: transcript:QX1410.19411.1
0_3959: transcript:QX1410.19411.2
0_3960: transcript:QX1410.19412.1
0_3961: transcript:QX1410.19413.1
0_3962: transcript:QX1410.19414.1
0_3963: transcript:QX1410.19414.2
0_3964: transcript:QX1410.19414.3
0_3965: transcript:QX1410.19414.4
0_3966: transcript:QX1410.19415.1
0_3967: transcript:QX1410.19416.1
0_3968: transcript:QX1410.19416.2
0_3969: transcript:QX1410.19417.1
0_3970: transcript:QX1410.19417.2
0_3971: transcript:QX1410.19418.1
0_3972: transcript:QX1410.19418.2
0_3973: transcript:QX1410.19419.1
0_3974: transcript:QX1410.19419.2
0_3975: transcript:QX1410.19419.3
