0_0: transcript:chrIII_pilon.g6684
0_19638: transcript:chrIV_pilon.g10274
0_19639: transcript:chrIV_pilon.g10275.1
0_19640: Transcript:VC2010_MAPPED_R11E3.2.1
0_19641: transcript:chrIV_pilon.g10275.3
0_19642: transcript:chrIV_pilon.g10275.2
0_19643: Transcript:VC2010_MAPPED_R11E3.19.1
0_19644: transcript:chrIV_pilon.g10276
0_19645: Transcript:VC2010_MAPPED_R11E3.4.1
0_19646: transcript:chrIV_pilon.g10277
0_19647: Transcript:VC2010_MAPPED_R11E3.5d.1
0_19648: Transcript:VC2010_MAPPED_R11E3.5a.1
0_19649: transcript:chrIV_pilon.g10278
0_19650: Transcript:VC2010_MAPPED_R11E3.5c.1
0_19651: Transcript:VC2010_MAPPED_R11E3.5b.1
0_19652: Transcript:VC2010_MAPPED_R11E3.1.1
0_19653: transcript:chrIV_pilon.g10279
0_19654: Transcript:VC2010_MAPPED_R11E3.6b.1
0_19655: Transcript:VC2010_MAPPED_R11E3.6a.1
0_19656: transcript:chrIV_pilon.g10280
0_19657: Transcript:VC2010_MAPPED_R11E3.7a.1
0_19658: transcript:chrIV_pilon.g10281.1
0_19659: transcript:chrIV_pilon.g10281.2
0_19660: Transcript:VC2010_MAPPED_R11E3.7b.1
0_19661: Transcript:VC2010_MAPPED_R11E3.8b.1
0_19662: Transcript:VC2010_MAPPED_R11E3.8a.1
0_19663: transcript:chrIV_pilon.g10282
0_19664: Transcript:VC2010_MAPPED_H06H21.11.1
0_19665: transcript:chrIV_pilon.g10283
0_19666: transcript:chrIV_pilon.g10284.1
0_19667: Transcript:VC2010_MAPPED_H06H21.6.1
0_19668: transcript:chrIV_pilon.g10284.3
0_19669: Transcript:VC2010_MAPPED_H06H21.37.1
0_19670: transcript:chrIV_pilon.g10284.2
0_19671: Transcript:VC2010_MAPPED_H06H21.3.1
0_19672: transcript:chrIV_pilon.g10285
0_19673: Transcript:VC2010_MAPPED_H06H21.2.1
0_19674: transcript:chrIV_pilon.g10286
0_19675: Transcript:VC2010_MAPPED_H06H21.1.1
0_19676: transcript:chrIV_pilon.g10287
0_19677: Transcript:VC2010_MAPPED_H06H21.8b.1
0_19678: transcript:chrIV_pilon.g10288
0_19679: Transcript:VC2010_MAPPED_H06H21.8a.1
0_19680: Transcript:VC2010_MAPPED_H06H21.9.1
0_19681: transcript:chrIV_pilon.g10289
0_19682: Transcript:VC2010_MAPPED_H06H21.10a.1
0_19683: transcript:chrIV_pilon.g10290.2
0_19684: transcript:chrIV_pilon.g10290.3
0_19685: transcript:chrIV_pilon.g10290.1
0_19686: Transcript:VC2010_MAPPED_H06H21.10f.1
0_19687: Transcript:VC2010_MAPPED_H06H21.10b.1
0_19688: Transcript:VC2010_MAPPED_H06H21.10e.1
0_19689: Transcript:VC2010_MAPPED_H06H21.10c.1
0_19690: Transcript:VC2010_MAPPED_H06H21.10d.1
0_19691: Transcript:VC2010_MAPPED_Y17G9A.2.1
0_19692: transcript:chrIV_pilon.g10291
0_19693: Transcript:VC2010_MAPPED_Y17G9A.3a.1
0_19694: Transcript:VC2010_MAPPED_Y17G9A.3b.1
0_19695: transcript:chrIV_pilon.g10292
0_19696: Transcript:VC2010_MAPPED_Y17G9A.4.1
0_19697: transcript:chrIV_pilon.g10293
0_19698: Transcript:VC2010_MAPPED_Y17G9A.1.1
0_19699: transcript:chrIV_pilon.g10294
0_19700: transcript:chrIV_pilon.g10295
0_19701: Transcript:VC2010_MAPPED_Y17G9A.5.1
0_19702: transcript:chrIV_pilon.g10296.2
0_19703: Transcript:VC2010_MAPPED_Y17G9A.6.1
0_19704: transcript:chrIV_pilon.g10296.1
0_19705: Transcript:VC2010_MAPPED_Y17G9A.7b.1
0_19706: transcript:chrIV_pilon.g10297.1
0_19707: Transcript:VC2010_MAPPED_Y17G9A.7a.1
0_19708: transcript:chrIV_pilon.g10297.2
0_19709: Transcript:VC2010_MAPPED_T08B6.7.1
0_19710: transcript:chrIV_pilon.g10298.1
0_19711: transcript:chrIV_pilon.g10298.2
0_19712: Transcript:VC2010_MAPPED_T08B6.6.1
0_19713: transcript:chrIV_pilon.g10299
0_19714: Transcript:VC2010_MAPPED_T08B6.1.1
0_19715: transcript:chrIV_pilon.g10300
0_19716: Transcript:VC2010_MAPPED_T08B6.5.1
0_19717: transcript:chrIV_pilon.g10301
0_19718: Transcript:VC2010_MAPPED_T08B6.9.1
0_19719: transcript:chrIV_pilon.g10302
0_19720: transcript:chrIV_pilon.g10303
0_19721: transcript:chrIV_pilon.g10304
0_19722: Transcript:VC2010_MAPPED_T08B6.3.1
0_19723: Transcript:VC2010_MAPPED_T08B6.4.1
0_19724: transcript:chrIV_pilon.g10305.2
0_19725: transcript:chrIV_pilon.g10305.3
0_19726: Transcript:VC2010_MAPPED_Y9C9A.18.1
0_19727: transcript:chrIV_pilon.g10305.1
0_19728: Transcript:VC2010_MAPPED_Y9C9A.11.1
0_19729: transcript:chrIV_pilon.g10306.1
0_19730: transcript:chrIV_pilon.g10306.2
0_19731: Transcript:VC2010_MAPPED_Y9C9A.10.1
0_19732: transcript:chrIV_pilon.g10307.1
0_19733: transcript:chrIV_pilon.g10307.2
0_19734: Transcript:VC2010_MAPPED_Y9C9A.9.1
0_19735: transcript:chrIV_pilon.g10308.2
0_19736: transcript:chrIV_pilon.g10308.1
0_19737: transcript:chrIV_pilon.g10309.1
0_19738: transcript:chrIV_pilon.g10309.2
0_19739: transcript:chrIV_pilon.g10309.3
0_19740: transcript:chrIV_pilon.g10310
0_19741: Transcript:VC2010_MAPPED_Y9C9A.8.1
0_19742: transcript:chrIV_pilon.g10311
0_19743: Transcript:VC2010_MAPPED_Y9C9A.7.1
0_19744: transcript:chrIV_pilon.g10312
0_19745: Transcript:VC2010_MAPPED_Y9C9A.12.1
0_19746: transcript:chrIV_pilon.g10313
0_19747: Transcript:VC2010_MAPPED_Y9C9A.6.1
0_19748: transcript:chrIV_pilon.g10314.2
0_19749: transcript:chrIV_pilon.g10314.1
0_19750: Transcript:VC2010_MAPPED_Y9C9A.5.1
0_19751: transcript:chrIV_pilon.g10315.1
0_19752: transcript:chrIV_pilon.g10315.2
0_19753: Transcript:VC2010_MAPPED_Y9C9A.4.1
0_19754: Transcript:VC2010_MAPPED_Y9C9A.3.1
0_19755: transcript:chrIV_pilon.g10316
0_19756: Transcript:VC2010_MAPPED_Y9C9A.2.1
0_19757: transcript:chrIV_pilon.g10317
0_19758: Transcript:VC2010_MAPPED_Y9C9A.1.1
0_19759: transcript:chrIV_pilon.g10318
0_19760: Transcript:VC2010_MAPPED_Y9C9A.13.1
0_19761: transcript:chrIV_pilon.g10319
0_19762: Transcript:VC2010_MAPPED_Y9C9A.16a.1
0_19763: Transcript:VC2010_MAPPED_Y9C9A.16b.1
0_19764: transcript:chrIV_pilon.g10320
0_19765: Transcript:VC2010_MAPPED_E03H12.5.1
0_19766: transcript:chrIV_pilon.g10321
0_19767: Transcript:VC2010_MAPPED_E03H12.6.1
0_19768: transcript:chrIV_pilon.g10322
0_19769: Transcript:VC2010_MAPPED_E03H12.4.1
0_19770: transcript:chrIV_pilon.g10323
0_19771: Transcript:VC2010_MAPPED_E03H12.3.1
0_19772: transcript:chrIV_pilon.g10324
0_19773: Transcript:VC2010_MAPPED_E03H12.2.1
0_19774: transcript:chrIV_pilon.g10325
0_19775: Transcript:VC2010_MAPPED_E03H12.7.1
0_19776: transcript:chrIV_pilon.g10326
0_19777: transcript:chrIV_pilon.g10327.2
0_19778: transcript:chrIV_pilon.g10327.1
0_19779: transcript:chrIV_pilon.g10327.3
0_19780: Transcript:VC2010_MAPPED_E03H12.1.1
0_19781: transcript:chrIV_pilon.g10328.1
0_19782: transcript:chrIV_pilon.g10328.2
0_19783: Transcript:VC2010_MAPPED_E03H12.10.1
0_19784: transcript:chrIV_pilon.g10329
0_19785: Transcript:VC2010_MAPPED_T28H11.5.1
0_19786: transcript:chrIV_pilon.g10330
0_19787: Transcript:VC2010_MAPPED_T28H11.6.1
0_19788: transcript:chrIV_pilon.g10331
0_19789: Transcript:VC2010_MAPPED_T28H11.4a.1
0_19790: transcript:chrIV_pilon.g10332
0_19791: Transcript:VC2010_MAPPED_T28H11.4b.1
0_19792: Transcript:VC2010_MAPPED_T28H11.3.1
0_19793: transcript:chrIV_pilon.g10333
0_19794: Transcript:VC2010_MAPPED_T28H11.2.1
0_19795: transcript:chrIV_pilon.g10334
0_19796: Transcript:VC2010_MAPPED_T28H11.7.1
0_19797: transcript:chrIV_pilon.g10335
0_19798: Transcript:VC2010_MAPPED_T28H11.1.1
0_19799: transcript:chrIV_pilon.g10336
0_19800: Transcript:VC2010_MAPPED_T28H11.8.1
0_19801: transcript:chrIV_pilon.g10337
0_19802: transcript:chrIV_pilon.g10338.1
0_19803: Transcript:VC2010_MAPPED_C09B9.85.1
0_19804: transcript:chrIV_pilon.g10338.2
0_19805: Transcript:VC2010_MAPPED_C09B9.3.1
0_19806: transcript:chrIV_pilon.g10339
0_19807: Transcript:VC2010_MAPPED_C09B9.2.1
0_19808: transcript:chrIV_pilon.g10340
0_19809: Transcript:VC2010_MAPPED_C09B9.4.1
0_19810: transcript:chrIV_pilon.g10341
0_19811: Transcript:VC2010_MAPPED_C09B9.1.1
0_19812: transcript:chrIV_pilon.g10342
0_19813: transcript:chrIV_pilon.g10343.1
0_19814: Transcript:VC2010_MAPPED_C09B9.8a.1
0_19815: Transcript:VC2010_MAPPED_C09B9.8b.1
0_19816: transcript:chrIV_pilon.g10343.2
0_19817: Transcript:VC2010_MAPPED_C09B9.6.1
0_19818: transcript:chrIV_pilon.g10344
0_19819: Transcript:VC2010_MAPPED_C09B9.7.1
0_19820: transcript:chrIV_pilon.g10345
0_19821: Transcript:VC2010_MAPPED_R13H9.2.1
0_19822: transcript:chrIV_pilon.g10346
0_19823: Transcript:VC2010_MAPPED_R13H9.4.1
0_19824: transcript:chrIV_pilon.g10347
0_19825: Transcript:VC2010_MAPPED_R13H9.5.1
0_19826: transcript:chrIV_pilon.g10348
0_19827: Transcript:VC2010_MAPPED_R13H9.6.1
0_19828: transcript:chrIV_pilon.g10349.1
0_19829: transcript:chrIV_pilon.g10349.2
0_19830: Transcript:VC2010_MAPPED_R13H9.1.1
0_19831: transcript:chrIV_pilon.g10350
0_19832: Transcript:VC2010_MAPPED_C02B10.6.1
0_19833: transcript:chrIV_pilon.g10351
0_19834: Transcript:VC2010_MAPPED_C02B10.5a.1
0_19835: transcript:chrIV_pilon.g10352
0_19836: Transcript:VC2010_MAPPED_C02B10.5b.1
0_19837: Transcript:VC2010_MAPPED_C02B10.1.1
0_19838: transcript:chrIV_pilon.g10353
0_19839: Transcript:VC2010_MAPPED_C02B10.2.1
0_19840: transcript:chrIV_pilon.g10354.2
0_19841: transcript:chrIV_pilon.g10354.1
0_19842: Transcript:VC2010_MAPPED_C02B10.4.1
0_19843: transcript:chrIV_pilon.g10355
0_19844: Transcript:VC2010_MAPPED_C02B10.3.1
0_19845: transcript:chrIV_pilon.g10356.1
0_19846: transcript:chrIV_pilon.g10356.2
0_19847: transcript:chrIV_pilon.g10357.1
0_19848: Transcript:VC2010_MAPPED_AC7.3.1
0_19849: transcript:chrIV_pilon.g10357.2
0_19850: Transcript:VC2010_MAPPED_AC7.1a.1
0_19851: Transcript:VC2010_MAPPED_AC7.1b.1
0_19852: transcript:chrIV_pilon.g10358.1
0_19853: transcript:chrIV_pilon.g10358.2
0_19854: Transcript:VC2010_MAPPED_AC7.2a.1
0_19855: transcript:chrIV_pilon.g10359.1
0_19856: Transcript:VC2010_MAPPED_AC7.2b.1
0_19857: transcript:chrIV_pilon.g10359.2
0_19858: Transcript:VC2010_MAPPED_AC7.2d.1
0_19859: Transcript:VC2010_MAPPED_AC7.2c.1
0_19860: Transcript:VC2010_MAPPED_C24D10.5.1
0_19861: transcript:chrIV_pilon.g10360
0_19862: Transcript:VC2010_MAPPED_C24D10.49.1
0_19863: transcript:chrIV_pilon.g10361.2
0_19864: Transcript:VC2010_MAPPED_C24D10.6.1
0_19865: transcript:chrIV_pilon.g10361.1
0_19866: Transcript:VC2010_MAPPED_C24D10.4.1
0_19867: transcript:chrIV_pilon.g10362
0_19868: Transcript:VC2010_MAPPED_C24D10.7.1
0_19869: transcript:chrIV_pilon.g10363
0_19870: Transcript:VC2010_MAPPED_C24D10.2.1
0_19871: transcript:chrIV_pilon.g10364
0_19872: Transcript:VC2010_MAPPED_C24D10.8.1
0_19873: transcript:chrIV_pilon.g10365.1
0_19874: transcript:chrIV_pilon.g10365.2
0_19875: Transcript:VC2010_MAPPED_C24D10.1.1
0_19876: transcript:chrIV_pilon.g10366
0_19877: Transcript:VC2010_MAPPED_W03F8.5a.1
0_19878: transcript:chrIV_pilon.g10367
0_19879: Transcript:VC2010_MAPPED_W03F8.5b.1
0_19880: Transcript:VC2010_MAPPED_W03F8.4.1
0_19881: transcript:chrIV_pilon.g10368
0_19882: Transcript:VC2010_MAPPED_W03F8.6d.1
0_19883: Transcript:VC2010_MAPPED_W03F8.6b.1
0_19884: transcript:chrIV_pilon.g10369.1
0_19885: transcript:chrIV_pilon.g10369.3
0_19886: Transcript:VC2010_MAPPED_W03F8.6c.1
0_19887: Transcript:VC2010_MAPPED_W03F8.6a.1
0_19888: transcript:chrIV_pilon.g10369.2
0_19889: Transcript:VC2010_MAPPED_W03F8.3a.1
0_19890: transcript:chrIV_pilon.g10370
0_19891: Transcript:VC2010_MAPPED_W03F8.3b.1
0_19892: transcript:chrIV_pilon.g10371.2
0_19893: transcript:chrIV_pilon.g10371.1
0_19894: transcript:chrIV_pilon.g10371.3
0_19895: Transcript:VC2010_MAPPED_W03F8.9a.1
0_19896: Transcript:VC2010_MAPPED_W03F8.9b.1
0_19897: transcript:chrIV_pilon.g10372.1
0_19898: transcript:chrIV_pilon.g10372.2
0_19899: transcript:chrIV_pilon.g10372.3
0_19900: transcript:chrIV_pilon.g10373
0_19901: Transcript:VC2010_MAPPED_W03F8.1.1
0_19902: transcript:chrIV_pilon.g10374
0_19903: Transcript:VC2010_MAPPED_Y59E9AL.36.1
0_19904: transcript:chrIV_pilon.g10375
0_19905: Transcript:VC2010_MAPPED_Y59E9AL.7.1
0_19906: transcript:chrIV_pilon.g10376
0_19907: Transcript:VC2010_MAPPED_Y59E9AL.4.1
0_19908: transcript:chrIV_pilon.g10377
0_19909: Transcript:VC2010_MAPPED_Y59E9AL.3.1
0_19910: transcript:chrIV_pilon.g10378
0_19911: transcript:chrIV_pilon.g10379.2
0_19912: transcript:chrIV_pilon.g10379.1
0_19913: transcript:chrIV_pilon.g10379.3
0_19914: Transcript:VC2010_MAPPED_Y59E9AL.8.1
0_19915: transcript:chrIV_pilon.g10380
0_19916: transcript:chrIV_pilon.g10381.2
0_19917: Transcript:VC2010_MAPPED_Y59E9AL.6.1
0_19918: transcript:chrIV_pilon.g10381.1
0_19919: Transcript:VC2010_MAPPED_Y59E9AL.2.1
0_19920: transcript:chrIV_pilon.g10382
0_19921: Transcript:VC2010_MAPPED_Y59E9AL.1.1
0_19922: transcript:chrIV_pilon.g10383
0_19923: Transcript:VC2010_MAPPED_Y59E9AR.4.1
0_19924: transcript:chrIV_pilon.g10384
0_19925: Transcript:VC2010_MAPPED_Y59E9AR.5.1
0_19926: transcript:chrIV_pilon.g10385
0_19927: Transcript:VC2010_MAPPED_Y59E9AR.3.1
0_19928: transcript:chrIV_pilon.g10386
0_19929: transcript:chrIV_pilon.g10387
0_19930: Transcript:VC2010_MAPPED_Y59E9AR.7.1
0_19931: transcript:chrIV_pilon.g10388
0_19932: transcript:chrIV_pilon.g10389
0_19933: Transcript:VC2010_MAPPED_Y59E9AR.2.1
0_19934: transcript:chrIV_pilon.g10390.1
0_19935: transcript:chrIV_pilon.g10390.3
0_19936: transcript:chrIV_pilon.g10390.2
0_19937: Transcript:VC2010_MAPPED_Y59E9AR.8.1
0_19938: transcript:chrIV_pilon.g10391
0_19939: transcript:chrIV_pilon.g10392.1
0_19940: transcript:chrIV_pilon.g10392.2
0_19941: Transcript:VC2010_MAPPED_Y59E9AR.1.1
0_19942: transcript:chrIV_pilon.g10393
0_19943: transcript:chrIV_pilon.g10394.2
0_19944: Transcript:VC2010_MAPPED_F36H12.10.1
0_19945: transcript:chrIV_pilon.g10394.1
0_19946: transcript:chrIV_pilon.g10395.1
0_19947: transcript:chrIV_pilon.g10395.2
0_19948: transcript:chrIV_pilon.g10396.2
0_19949: Transcript:VC2010_MAPPED_F36H12.9.1
0_19950: transcript:chrIV_pilon.g10396.1
0_19951: Transcript:VC2010_MAPPED_F36H12.8.1
0_19952: transcript:chrIV_pilon.g10397
0_19953: Transcript:VC2010_MAPPED_F36H12.7.1
0_19954: transcript:chrIV_pilon.g10398
0_19955: transcript:chrIV_pilon.g10399.1
0_19956: transcript:chrIV_pilon.g10399.2
0_19957: transcript:chrIV_pilon.g10400
0_19958: Transcript:VC2010_MAPPED_F36H12.5.1
0_19959: transcript:chrIV_pilon.g10401
0_19960: Transcript:VC2010_MAPPED_F36H12.17.1
0_19961: Transcript:VC2010_MAPPED_F36H12.4.1
0_19962: transcript:chrIV_pilon.g10402
0_19963: Transcript:VC2010_MAPPED_F36H12.3.1
0_19964: transcript:chrIV_pilon.g10403
0_19965: Transcript:VC2010_MAPPED_F36H12.2b.1
0_19966: Transcript:VC2010_MAPPED_F36H12.2a.1
0_19967: transcript:chrIV_pilon.g10404
0_19968: transcript:chrIV_pilon.g10405
0_19969: Transcript:VC2010_MAPPED_F36H12.1.1
0_19970: transcript:chrIV_pilon.g10406
0_19971: Transcript:VC2010_MAPPED_ZK354.5.1
0_19972: transcript:chrIV_pilon.g10407
0_19973: Transcript:VC2010_MAPPED_ZK354.6.1
0_19974: transcript:chrIV_pilon.g10408
0_19975: Transcript:VC2010_MAPPED_ZK354.4.1
0_19976: transcript:chrIV_pilon.g10409
0_19977: Transcript:VC2010_MAPPED_ZK354.7.1
0_19978: transcript:chrIV_pilon.g10410
0_19979: transcript:chrIV_pilon.g10411
0_19980: Transcript:VC2010_MAPPED_ZK354.8.1
0_19981: transcript:chrIV_pilon.g10412
0_19982: Transcript:VC2010_MAPPED_ZK354.9.1
0_19983: transcript:chrIV_pilon.g10413
0_19984: Transcript:VC2010_MAPPED_ZK354.10.1
0_19985: transcript:chrIV_pilon.g10414
0_19986: transcript:chrIV_pilon.g10415.1
0_19987: Transcript:VC2010_MAPPED_ZK354.3.1
0_19988: transcript:chrIV_pilon.g10415.2
0_19989: Transcript:VC2010_MAPPED_ZK354.11.1
0_19990: transcript:chrIV_pilon.g10416
0_19991: Transcript:VC2010_MAPPED_ZK354.2a.1
0_19992: transcript:chrIV_pilon.g10417.2
0_19993: Transcript:VC2010_MAPPED_ZK354.2b.1
0_19994: transcript:chrIV_pilon.g10417.1
0_19995: transcript:chrIV_pilon.g10417.3
0_19996: Transcript:VC2010_MAPPED_ZK354.1.1
0_19997: transcript:chrIV_pilon.g10418
0_19998: Transcript:VC2010_MAPPED_Y4C6B.5.1
0_19999: transcript:chrIV_pilon.g10419
0_20000: Transcript:VC2010_MAPPED_Y4C6B.4b.1
0_20001: Transcript:VC2010_MAPPED_Y4C6B.4a.1
0_20002: transcript:chrIV_pilon.g10420.1
0_20003: transcript:chrIV_pilon.g10420.2
0_20004: Transcript:VC2010_MAPPED_Y4C6B.3a.1
0_20005: transcript:chrIV_pilon.g10421
0_20006: Transcript:VC2010_MAPPED_Y4C6B.3b.1
0_20007: Transcript:VC2010_MAPPED_Y4C6B.3c.1
0_20008: Transcript:VC2010_MAPPED_Y4C6B.2a.1
0_20009: transcript:chrIV_pilon.g10422
0_20010: Transcript:VC2010_MAPPED_Y4C6B.2b.1
0_20011: Transcript:VC2010_MAPPED_Y4C6B.6.1
0_20012: transcript:chrIV_pilon.g10423
0_20013: Transcript:VC2010_MAPPED_Y4C6B.7a.1
0_20014: transcript:chrIV_pilon.g10424.2
0_20015: Transcript:VC2010_MAPPED_Y4C6B.7b.1
0_20016: transcript:chrIV_pilon.g10424.1
0_20017: Transcript:VC2010_MAPPED_Y4C6B.1.1
0_20018: transcript:chrIV_pilon.g10425
0_20019: Transcript:VC2010_MAPPED_F41H10.6d.1
0_20020: transcript:chrIV_pilon.g10426.3
0_20021: transcript:chrIV_pilon.g10426.4
0_20022: Transcript:VC2010_MAPPED_F41H10.6b.1
0_20023: Transcript:VC2010_MAPPED_F41H10.6c.1
0_20024: transcript:chrIV_pilon.g10426.1
0_20025: Transcript:VC2010_MAPPED_F41H10.6a.1
0_20026: Transcript:VC2010_MAPPED_F41H10.5.1
0_20027: transcript:chrIV_pilon.g10427.1
0_20028: transcript:chrIV_pilon.g10427.2
0_20029: transcript:chrIV_pilon.g10426.2
0_20030: Transcript:VC2010_MAPPED_F41H10.4.1
0_20031: transcript:chrIV_pilon.g10428.1
0_20032: transcript:chrIV_pilon.g10428.3
0_20033: Transcript:VC2010_MAPPED_F41H10.11.1
0_20034: transcript:chrIV_pilon.g10428.2
0_20035: Transcript:VC2010_MAPPED_F41H10.3b.1
0_20036: transcript:chrIV_pilon.g10429.3
0_20037: Transcript:VC2010_MAPPED_F41H10.3a.1
0_20038: Transcript:VC2010_MAPPED_F41H10.3e.1
0_20039: transcript:chrIV_pilon.g10429.1
0_20040: transcript:chrIV_pilon.g10429.2
0_20041: Transcript:VC2010_MAPPED_F41H10.3c.1
0_20042: Transcript:VC2010_MAPPED_F41H10.3d.1
0_20043: Transcript:VC2010_MAPPED_F41H10.7.1
0_20044: transcript:chrIV_pilon.g10430.1
0_20045: transcript:chrIV_pilon.g10430.2
0_20046: Transcript:VC2010_MAPPED_F41H10.2.1
0_20047: transcript:chrIV_pilon.g10431
0_20048: transcript:chrIV_pilon.g10432.2
0_20049: Transcript:VC2010_MAPPED_F41H10.1.1
0_20050: transcript:chrIV_pilon.g10432.1
0_20051: transcript:chrIV_pilon.g10432.4
0_20052: Transcript:VC2010_MAPPED_F41H10.12.1
0_20053: transcript:chrIV_pilon.g10432.3
0_20054: Transcript:VC2010_MAPPED_F41H10.8.1
0_20055: transcript:chrIV_pilon.g10433
0_20056: Transcript:VC2010_MAPPED_F41H10.10.1
0_20057: transcript:chrIV_pilon.g10434
0_20058: Transcript:VC2010_MAPPED_ZK616.5.1
0_20059: transcript:chrIV_pilon.g10435
0_20060: Transcript:VC2010_MAPPED_ZK616.6b.1
0_20061: Transcript:VC2010_MAPPED_ZK616.6a.1
0_20062: transcript:chrIV_pilon.g10436
0_20063: Transcript:VC2010_MAPPED_ZK616.4.1
0_20064: transcript:chrIV_pilon.g10437
0_20065: Transcript:VC2010_MAPPED_ZK616.3a.1
0_20066: transcript:chrIV_pilon.g10438.2
0_20067: transcript:chrIV_pilon.g10438.1
0_20068: Transcript:VC2010_MAPPED_ZK616.3b.1
0_20069: Transcript:VC2010_MAPPED_ZK616.2.1
0_20070: transcript:chrIV_pilon.g10439
0_20071: Transcript:VC2010_MAPPED_ZK616.1.1
0_20072: transcript:chrIV_pilon.g10440
0_20073: Transcript:VC2010_MAPPED_ZK616.61.1
0_20074: transcript:chrIV_pilon.g10441
0_20075: transcript:chrIV_pilon.g10442.2
0_20076: Transcript:VC2010_MAPPED_ZK616.65b.1
0_20077: transcript:chrIV_pilon.g10442.1
0_20078: Transcript:VC2010_MAPPED_ZK616.65a.1
0_20079: Transcript:VC2010_MAPPED_ZK616.8.1
0_20080: transcript:chrIV_pilon.g10443
0_20081: Transcript:VC2010_MAPPED_ZK616.9a.1
0_20082: Transcript:VC2010_MAPPED_ZK616.9b.1
0_20083: transcript:chrIV_pilon.g10444.1
0_20084: transcript:chrIV_pilon.g10444.2
0_20085: Transcript:VC2010_MAPPED_ZK616.10b.1
0_20086: Transcript:VC2010_MAPPED_ZK616.10c.1
0_20087: Transcript:VC2010_MAPPED_ZK616.10a.1
0_20088: transcript:chrIV_pilon.g10445
0_20089: Transcript:VC2010_MAPPED_Y4C6A.2a.1
0_20090: Transcript:VC2010_MAPPED_Y4C6A.2d.1
0_20091: transcript:chrIV_pilon.g10446.1
0_20092: transcript:chrIV_pilon.g10446.2
0_20093: Transcript:VC2010_MAPPED_Y4C6A.2e.1
0_20094: Transcript:VC2010_MAPPED_Y4C6A.2f.1
0_20095: Transcript:VC2010_MAPPED_Y4C6A.2g.1
0_20096: Transcript:VC2010_MAPPED_Y4C6A.2h.1
0_20097: Transcript:VC2010_MAPPED_Y4C6A.3.1
0_20098: transcript:chrIV_pilon.g10447.1
0_20099: transcript:chrIV_pilon.g10447.2
0_20100: Transcript:VC2010_MAPPED_Y4C6A.4.1
0_20101: transcript:chrIV_pilon.g10448.1
0_20102: transcript:chrIV_pilon.g10448.2
0_20103: transcript:chrIV_pilon.g10449
0_20104: transcript:chrIV_pilon.g10450.1
0_20105: transcript:chrIV_pilon.g10450.2
0_20106: transcript:chrIV_pilon.g10450.3
0_20107: transcript:chrIV_pilon.g10451
0_20108: Transcript:VC2010_MAPPED_Y52D5A.2.1
0_20109: transcript:chrIV_pilon.g10452
0_20110: transcript:chrIV_pilon.g10453.2
0_20111: transcript:chrIV_pilon.g10453.1
0_20112: transcript:chrIV_pilon.g10453.3
0_20113: Transcript:VC2010_MAPPED_T11F8.3a.1
0_20114: transcript:chrIV_pilon.g10454
0_20115: Transcript:VC2010_MAPPED_T11F8.3b.1
0_20116: Transcript:VC2010_MAPPED_T11F8.4.1
0_20117: transcript:chrIV_pilon.g10455
0_20118: transcript:chrIV_pilon.g10456.1
0_20119: transcript:chrIV_pilon.g10456.2
0_20120: transcript:chrIV_pilon.g10456.4
0_20121: transcript:chrIV_pilon.g10456.3
0_20122: Transcript:VC2010_MAPPED_T11F8.1.1
0_20123: transcript:chrIV_pilon.g10457
0_20124: Transcript:VC2010_MAPPED_T11F8.12.1
0_20125: transcript:chrIV_pilon.g10458
0_20126: Transcript:VC2010_MAPPED_T11F8.5.1
0_20127: transcript:chrIV_pilon.g10459
0_20128: Transcript:VC2010_MAPPED_B0273.3.1
0_20129: transcript:chrIV_pilon.g10460
0_20130: Transcript:VC2010_MAPPED_B0273.2.1
0_20131: transcript:chrIV_pilon.g10461
0_20132: Transcript:VC2010_MAPPED_B0273.115.1
0_20133: transcript:chrIV_pilon.g10462
0_20134: transcript:chrIV_pilon.g10463.2
0_20135: Transcript:VC2010_MAPPED_B0273.1a.1
0_20136: transcript:chrIV_pilon.g10463.1
0_20137: Transcript:VC2010_MAPPED_B0273.1b.1
0_20138: Transcript:VC2010_MAPPED_B0273.4f.1
0_20139: Transcript:VC2010_MAPPED_B0273.4e.1
0_20140: Transcript:VC2010_MAPPED_B0273.4d.1
0_20141: Transcript:VC2010_MAPPED_B0273.4a.1
0_20142: Transcript:VC2010_MAPPED_B0273.4c.1
0_20143: transcript:chrIV_pilon.g10464
0_20144: Transcript:VC2010_MAPPED_B0273.4b.1
0_20145: Transcript:VC2010_MAPPED_F35D6.1a.1
0_20146: transcript:chrIV_pilon.g10465
0_20147: Transcript:VC2010_MAPPED_F35D6.1b.1
0_20148: Transcript:VC2010_MAPPED_T12E12.4a.1
0_20149: Transcript:VC2010_MAPPED_T12E12.4b.1
0_20150: transcript:chrIV_pilon.g10466.1
0_20151: transcript:chrIV_pilon.g10466.2
0_20152: transcript:chrIV_pilon.g10466.4
0_20153: Transcript:VC2010_MAPPED_T12E12.3.1
0_20154: transcript:chrIV_pilon.g10466.3
0_20155: Transcript:VC2010_MAPPED_T12E12.2.1
0_20156: transcript:chrIV_pilon.g10467
0_20157: Transcript:VC2010_MAPPED_T12E12.1.1
0_20158: transcript:chrIV_pilon.g10468
0_20159: transcript:chrIV_pilon.g10469.2
0_20160: Transcript:VC2010_MAPPED_T12E12.6.1
