0_0: transcript:QX1410-16786-1
0_17238: transcript:QX1410-12260-1
0_17239: transcript:QX1410-12260-2
0_17240: transcript:QX1410-12261-1
0_17241: transcript:QX1410-12262-1
0_17242: transcript:QX1410-12263-1
0_17243: transcript:QX1410-12264-1
0_17244: transcript:QX1410-12265-1
0_17245: transcript:QX1410-12266-1
0_17246: transcript:QX1410-12267-1
0_17247: transcript:QX1410-12268-1
0_17248: transcript:QX1410-12269-1
0_17249: transcript:QX1410-12270-1
0_17250: transcript:QX1410-12271-1
0_17251: transcript:QX1410-12271-2
0_17252: transcript:QX1410-12271-3
0_17253: transcript:QX1410-12271-4
0_17254: transcript:QX1410-12272-1
0_17255: transcript:QX1410-12272-2
0_17256: transcript:QX1410-12273-1
0_17257: transcript:QX1410-12273-2
0_17258: transcript:QX1410-12273-3
0_17259: transcript:QX1410-12274-1
0_17260: transcript:QX1410-12275-1
0_17261: transcript:QX1410-12275-2
0_17262: transcript:QX1410-12275-3
0_17263: transcript:QX1410-12276-1
0_17264: transcript:QX1410-12276-2
0_17265: transcript:QX1410-12277-1
0_17266: transcript:QX1410-12278-1
0_17267: transcript:QX1410-12279-1
0_17268: transcript:QX1410-12279-2
0_17269: transcript:QX1410-12280-1
0_17270: transcript:QX1410-12281-1
0_17271: transcript:QX1410-12282-1
0_17272: transcript:QX1410-12283-1
0_17273: transcript:QX1410-12284-1
0_17274: transcript:QX1410-12285-1
0_17275: transcript:QX1410-12286-1
0_17276: transcript:QX1410-12287-1
0_17277: transcript:QX1410-12288-1
0_17278: transcript:QX1410-12289-1
0_17279: transcript:QX1410-12290-1
0_17280: transcript:QX1410-12290-2
0_17281: transcript:QX1410-12291-1
0_17282: transcript:QX1410-12292-1
0_17283: transcript:QX1410-12292-2
0_17284: transcript:QX1410-12292-3
0_17285: transcript:QX1410-12293-1
0_17286: transcript:QX1410-12293-2
0_17287: transcript:QX1410-12294-1
0_17288: transcript:QX1410-12295-1
0_17289: transcript:QX1410-12296-1
0_17290: transcript:QX1410-12296-2
0_17291: transcript:QX1410-12297-1
0_17292: transcript:QX1410-12298-1
0_17293: transcript:QX1410-12299-1
0_17294: transcript:QX1410-12300-1
0_17295: transcript:QX1410-12301-1
0_17296: transcript:QX1410-12302-1
0_17297: transcript:QX1410-12303-1
0_17298: transcript:QX1410-12304-1
0_17299: transcript:QX1410-12305-1
0_17300: transcript:QX1410-12305-2
0_17301: transcript:QX1410-12306-1
0_17302: transcript:QX1410-12307-1
0_17303: transcript:QX1410-12308-1
0_17304: transcript:QX1410-12309-1
0_17305: transcript:QX1410-12310-1
0_17306: transcript:QX1410-12311-1
0_17307: transcript:QX1410-12312-1
0_17308: transcript:QX1410-12313-1
0_17309: transcript:QX1410-12314-1
0_17310: transcript:QX1410-12315-1
0_17311: transcript:QX1410-12315-2
0_17312: transcript:QX1410-12315-3
0_17313: transcript:QX1410-12316-1
0_17314: transcript:QX1410-12316-2
0_17315: transcript:QX1410-12317-1
0_17316: transcript:QX1410-12318-1
0_17317: transcript:QX1410-12319-1
0_17318: transcript:QX1410-12320-1
0_17319: transcript:QX1410-12321-1
0_17320: transcript:QX1410-12322-1
0_17321: transcript:QX1410-12323-1
0_17322: transcript:QX1410-12324-1
0_17323: transcript:QX1410-12325-1
0_17324: transcript:QX1410-12326-1
0_17325: transcript:QX1410-12327-1
0_17326: transcript:QX1410-12327-2
0_17327: transcript:QX1410-12327-3
0_17328: transcript:QX1410-12327-4
0_17329: transcript:QX1410-12327-5
0_17330: transcript:QX1410-12328-1
0_17331: transcript:QX1410-12329-1
0_17332: transcript:QX1410-12330-1
0_17333: transcript:QX1410-12331-1
0_17334: transcript:QX1410-12332-1
0_17335: transcript:QX1410-12332-2
0_17336: transcript:QX1410-12333-1
0_17337: transcript:QX1410-12334-1
0_17338: transcript:QX1410-12335-1
0_17339: transcript:QX1410-12336-1
0_17340: transcript:QX1410-12337-1
0_17341: transcript:QX1410-12338-1
0_17342: transcript:QX1410-12339-1
0_17343: transcript:QX1410-12340-1
0_17344: transcript:QX1410-12341-1
0_17345: transcript:QX1410-12342-1
0_17346: transcript:QX1410-12343-1
0_17347: transcript:QX1410-12344-1
0_17348: transcript:QX1410-12345-1
0_17349: transcript:QX1410-12346-1
0_17350: transcript:QX1410-12347-1
0_17351: transcript:QX1410-12348-1
0_17352: transcript:QX1410-12349-1
0_17353: transcript:QX1410-12350-1
0_17354: transcript:QX1410-12351-1
0_17355: transcript:QX1410-12351-2
0_17356: transcript:QX1410-12352-1
0_17357: transcript:QX1410-12353-1
0_17358: transcript:QX1410-12354-1
0_17359: transcript:QX1410-12355-1
0_17360: transcript:QX1410-12355-2
0_17361: transcript:QX1410-12356-1
0_17362: transcript:QX1410-12357-1
0_17363: transcript:QX1410-12358-1
0_17364: transcript:QX1410-12359-1
0_17365: transcript:QX1410-12360-1
0_17366: transcript:QX1410-12361-1
0_17367: transcript:QX1410-12362-1
0_17368: transcript:QX1410-12363-1
0_17369: transcript:QX1410-12363-2
0_17370: transcript:QX1410-12364-1
0_17371: transcript:QX1410-12365-1
0_17372: transcript:QX1410-12366-1
0_17373: transcript:QX1410-12367-1
0_17374: transcript:QX1410-12368-1
0_17375: transcript:QX1410-12369-1
0_17376: transcript:QX1410-12369-2
0_17377: transcript:QX1410-12370-1
0_17378: transcript:QX1410-12371-1
0_17379: transcript:QX1410-12372-1
0_17380: transcript:QX1410-12373-1
0_17381: transcript:QX1410-12374-1
0_17382: transcript:QX1410-12375-1
0_17383: transcript:QX1410-12376-1
0_17384: transcript:QX1410-12377-1
0_17385: transcript:QX1410-12378-1
0_17386: transcript:QX1410-12379-1
0_17387: transcript:QX1410-12380-1
0_17388: transcript:QX1410-12381-1
0_17389: transcript:QX1410-12382-1
0_17390: transcript:QX1410-12382-2
0_17391: transcript:QX1410-12382-3
0_17392: transcript:QX1410-12383-1
0_17393: transcript:QX1410-12383-2
0_17394: transcript:QX1410-12383-3
0_17395: transcript:QX1410-12384-1
0_17396: transcript:QX1410-12383-4
0_17397: transcript:QX1410-12385-1
0_17398: transcript:QX1410-12386-1
0_17399: transcript:QX1410-12387-1
0_17400: transcript:QX1410-12388-1
0_17401: transcript:QX1410-12389-1
0_17402: transcript:QX1410-12390-1
0_17403: transcript:QX1410-12391-1
0_17404: transcript:QX1410-12392-1
0_17405: transcript:QX1410-12392-2
0_17406: transcript:QX1410-12392-3
0_17407: transcript:QX1410-12393-1
0_17408: transcript:QX1410-12393-2
0_17409: transcript:QX1410-12393-3
0_17410: transcript:QX1410-12394-1
0_17411: transcript:QX1410-12395-1
0_17412: transcript:QX1410-12396-1
0_17413: transcript:QX1410-12397-1
0_17414: transcript:QX1410-12398-1
0_17415: transcript:QX1410-12398-2
0_17416: transcript:QX1410-12399-1
0_17417: transcript:QX1410-12400-1
0_17418: transcript:QX1410-12401-1
0_17419: transcript:QX1410-12401-2
0_17420: transcript:QX1410-12401-3
0_17421: transcript:QX1410-12402-1
0_17422: transcript:QX1410-12402-2
0_17423: transcript:QX1410-12403-1
0_17424: transcript:QX1410-12403-2
0_17425: transcript:QX1410-12403-3
0_17426: transcript:QX1410-12404-1
0_17427: transcript:QX1410-12405-1
0_17428: transcript:QX1410-12406-1
0_17429: transcript:QX1410-12406-2
0_17430: transcript:QX1410-12406-3
0_17431: transcript:QX1410-12407-1
0_17432: transcript:QX1410-12408-1
0_17433: transcript:QX1410-12409-1
0_17434: transcript:QX1410-12410-1
0_17435: transcript:QX1410-12411-1
0_17436: transcript:QX1410-12412-1
0_17437: transcript:QX1410-12413-1
0_17438: transcript:QX1410-12414-1
0_17439: transcript:QX1410-12415-1
0_17440: transcript:QX1410-12415-2
0_17441: transcript:QX1410-12416-1
0_17442: transcript:QX1410-12416-2
0_17443: transcript:QX1410-12416-3
0_17444: transcript:QX1410-12416-4
0_17445: transcript:QX1410-12417-1
0_17446: transcript:QX1410-12418-1
0_17447: transcript:QX1410-12419-1
0_17448: transcript:QX1410-12420-1
0_17449: transcript:QX1410-12421-1
0_17450: transcript:QX1410-12422-1
0_17451: transcript:QX1410-12422-2
0_17452: transcript:QX1410-12422-3
0_17453: transcript:QX1410-12422-4
0_17454: transcript:QX1410-12423-1
0_17455: transcript:QX1410-12423-2
0_17456: transcript:QX1410-12424-1
0_17457: transcript:QX1410-12424-2
0_17458: transcript:QX1410-12424-3
0_17459: transcript:QX1410-12424-4
0_17460: transcript:QX1410-12424-5
0_17461: transcript:QX1410-12424-6
0_17462: transcript:QX1410-12423-3
0_17463: transcript:QX1410-12425-1
0_17464: transcript:QX1410-12426-1
0_17465: transcript:QX1410-12426-2
0_17466: transcript:QX1410-12427-1
0_17467: transcript:QX1410-12427-2
0_17468: transcript:QX1410-12427-3
0_17469: transcript:QX1410-12427-4
0_17470: transcript:QX1410-12427-5
0_17471: transcript:QX1410-12427-6
0_17472: transcript:QX1410-12428-1
0_17473: transcript:QX1410-12429-1
0_17474: transcript:QX1410-12430-1
0_17475: transcript:QX1410-12431-1
0_17476: transcript:QX1410-12432-1
0_17477: transcript:QX1410-12432-2
0_17478: transcript:QX1410-12433-1
0_17479: transcript:QX1410-12434-1
0_17480: transcript:QX1410-12434-2
0_17481: transcript:QX1410-12435-1
0_17482: transcript:QX1410-12436-1
0_17483: transcript:QX1410-12437-1
0_17484: transcript:QX1410-12438-1
0_17485: transcript:QX1410-12439-1
0_17486: transcript:QX1410-12440-1
0_17487: transcript:QX1410-12440-2
0_17488: transcript:QX1410-12441-1
0_17489: transcript:QX1410-12441-2
0_17490: transcript:QX1410-12442-1
0_17491: transcript:QX1410-12443-1
0_17492: transcript:QX1410-12443-2
0_17493: transcript:QX1410-12444-1
0_17494: transcript:QX1410-12445-1
0_17495: transcript:QX1410-12446-1
0_17496: transcript:QX1410-12447-1
0_17497: transcript:QX1410-12448-1
0_17498: transcript:QX1410-12449-1
0_17499: transcript:QX1410-12450-1
0_17500: transcript:QX1410-12451-1
0_17501: transcript:QX1410-12452-1
0_17502: transcript:QX1410-12452-2
0_17503: transcript:QX1410-12453-1
0_17504: transcript:QX1410-12454-1
0_17505: transcript:QX1410-12454-2
0_17506: transcript:QX1410-12455-1
0_17507: transcript:QX1410-12456-1
0_17508: transcript:QX1410-12457-1
0_17509: transcript:QX1410-12458-1
0_17510: transcript:QX1410-12459-1
0_17511: transcript:QX1410-12459-2
0_17512: transcript:QX1410-12459-3
0_17513: transcript:QX1410-12460-1
0_17514: transcript:QX1410-12461-1
0_17515: transcript:QX1410-12461-2
0_17516: transcript:QX1410-12462-1
0_17517: transcript:QX1410-12463-1
0_17518: transcript:QX1410-12464-1
0_17519: transcript:QX1410-12465-1
0_17520: transcript:QX1410-12466-1
0_17521: transcript:QX1410-12467-1
0_17522: transcript:QX1410-12468-1
0_17523: transcript:QX1410-12468-2
0_17524: transcript:QX1410-12469-1
0_17525: transcript:QX1410-12470-1
0_17526: transcript:QX1410-12471-1
0_17527: transcript:QX1410-12472-1
0_17528: transcript:QX1410-12472-2
0_17529: transcript:QX1410-12472-3
0_17530: transcript:QX1410-12473-1
0_17531: transcript:QX1410-12473-2
0_17532: transcript:QX1410-12474-1
0_17533: transcript:QX1410-12474-2
0_17534: transcript:QX1410-12475-1
0_17535: transcript:QX1410-12476-1
0_17536: transcript:QX1410-12477-1
0_17537: transcript:QX1410-12477-2
0_17538: transcript:QX1410-12477-3
0_17539: transcript:QX1410-12477-4
0_17540: transcript:QX1410-12477-5
0_17541: transcript:QX1410-12478-1
0_17542: transcript:QX1410-12479-1
0_17543: transcript:QX1410-12479-2
0_17544: transcript:QX1410-12479-3
0_17545: transcript:QX1410-12479-4
0_17546: transcript:QX1410-12479-5
0_17547: transcript:QX1410-12480-1
0_17548: transcript:QX1410-12481-1
0_17549: transcript:QX1410-12481-2
0_17550: transcript:QX1410-12482-1
0_17551: transcript:QX1410-12483-1
0_17552: transcript:QX1410-12484-1
0_17553: transcript:QX1410-12484-2
0_17554: transcript:QX1410-12485-1
0_17555: transcript:QX1410-12486-1
0_17556: transcript:QX1410-12486-2
0_17557: transcript:QX1410-12487-1
0_17558: transcript:QX1410-12488-1
0_17559: transcript:QX1410-12489-1
0_17560: transcript:QX1410-12490-1
0_17561: transcript:QX1410-12490-2
0_17562: transcript:QX1410-12491-1
0_17563: transcript:QX1410-12492-1
0_17564: transcript:QX1410-12493-1
0_17565: transcript:QX1410-12494-1
0_17566: transcript:QX1410-12495-1
0_17567: transcript:QX1410-12496-1
0_17568: transcript:QX1410-12496-2
0_17569: transcript:QX1410-12497-1
0_17570: transcript:QX1410-12498-1
0_17571: transcript:QX1410-12498-2
0_17572: transcript:QX1410-12499-1
0_17573: transcript:QX1410-12500-1
0_17574: transcript:QX1410-12500-2
0_17575: transcript:QX1410-12501-1
0_17576: transcript:QX1410-12501-2
0_17577: transcript:QX1410-12501-3
0_17578: transcript:QX1410-12501-4
0_17579: transcript:QX1410-12502-1
0_17580: transcript:QX1410-12503-1
0_17581: transcript:QX1410-12503-2
0_17582: transcript:QX1410-12503-3
0_17583: transcript:QX1410-12504-1
0_17584: transcript:QX1410-12505-1
0_17585: transcript:QX1410-12505-2
0_17586: transcript:QX1410-12505-3
0_17587: transcript:QX1410-12506-1
0_17588: transcript:QX1410-12507-1
0_17589: transcript:QX1410-12508-1
0_17590: transcript:QX1410-12508-2
0_17591: transcript:QX1410-12509-1
0_17592: transcript:QX1410-12510-1
0_17593: transcript:QX1410-12511-1
0_17594: transcript:QX1410-12512-1
0_17595: transcript:QX1410-12513-1
0_17596: transcript:QX1410-12514-1
0_17597: transcript:QX1410-12515-1
0_17598: transcript:QX1410-12516-1
0_17599: transcript:QX1410-12517-1
0_17600: transcript:QX1410-12518-1
0_17601: transcript:QX1410-12519-1
0_17602: transcript:QX1410-12520-1
0_17603: transcript:QX1410-12521-1
0_17604: transcript:QX1410-12522-1
0_17605: transcript:QX1410-12523-1
0_17606: transcript:QX1410-12524-1
0_17607: transcript:QX1410-12525-1
0_17608: transcript:QX1410-12526-1
0_17609: transcript:QX1410-12527-1
0_17610: transcript:QX1410-12528-1
0_17611: transcript:QX1410-12529-1
0_17612: transcript:QX1410-12529-2
0_17613: transcript:QX1410-12530-1
0_17614: transcript:QX1410-12531-1
0_17615: transcript:QX1410-12532-1
0_17616: transcript:QX1410-12533-1
0_17617: transcript:QX1410-12534-1
0_17618: transcript:QX1410-12535-1
0_17619: transcript:QX1410-12536-1
0_17620: transcript:QX1410-12537-1
0_17621: transcript:QX1410-12538-1
0_17622: transcript:QX1410-12539-1
0_17623: transcript:QX1410-12540-1
0_17624: transcript:QX1410-12541-1
0_17625: transcript:QX1410-12541-2
0_17626: transcript:QX1410-12542-1
0_17627: transcript:QX1410-12543-1
0_17628: transcript:QX1410-12544-1
0_17629: transcript:QX1410-12545-1
0_17630: transcript:QX1410-12546-1
0_17631: transcript:QX1410-12547-1
0_17632: transcript:QX1410-12548-1
0_17633: transcript:QX1410-12549-1
0_17634: transcript:QX1410-12550-1
0_17635: transcript:QX1410-12551-1
0_17636: transcript:QX1410-12552-1
0_17637: transcript:QX1410-12553-1
0_17638: transcript:QX1410-12554-1
0_17639: transcript:QX1410-12555-1
0_17640: transcript:QX1410-12556-1
0_17641: transcript:QX1410-12557-1
0_17642: transcript:QX1410-12558-1
0_17643: transcript:QX1410-12559-1
0_17644: transcript:QX1410-12560-1
0_17645: transcript:QX1410-12561-1
0_17646: transcript:QX1410-12562-1
0_17647: transcript:QX1410-12563-1
0_17648: transcript:QX1410-12564-1
0_17649: transcript:QX1410-12564-2
0_17650: transcript:QX1410-12565-1
0_17651: transcript:QX1410-12566-1
0_17652: transcript:QX1410-12566-2
0_17653: transcript:QX1410-12566-3
0_17654: transcript:QX1410-12567-1
0_17655: transcript:QX1410-12568-1
0_17656: transcript:QX1410-12569-1
0_17657: transcript:QX1410-12570-1
0_17658: transcript:QX1410-12571-1
0_17659: transcript:QX1410-12572-1
0_17660: transcript:QX1410-12572-2
0_17661: transcript:QX1410-12572-3
0_17662: transcript:QX1410-12573-1
0_17663: transcript:QX1410-12572-4
0_17664: transcript:QX1410-12572-5
0_17665: transcript:QX1410-12574-1
0_17666: transcript:QX1410-12575-1
0_17667: transcript:QX1410-12576-1
0_17668: transcript:QX1410-12577-1
0_17669: transcript:QX1410-12577-2
0_17670: transcript:QX1410-12577-3
0_17671: transcript:QX1410-12577-4
0_17672: transcript:QX1410-12578-1
0_17673: transcript:QX1410-12578-2
0_17674: transcript:QX1410-12578-3
0_17675: transcript:QX1410-12578-4
0_17676: transcript:QX1410-12579-1
0_17677: transcript:QX1410-12580-1
0_17678: transcript:QX1410-12581-1
0_17679: transcript:QX1410-12582-1
0_17680: transcript:QX1410-12583-1
0_17681: transcript:QX1410-12584-1
0_17682: transcript:QX1410-12585-1
0_17683: transcript:QX1410-12585-2
0_17684: transcript:QX1410-12585-3
0_17685: transcript:QX1410-12586-1
0_17686: transcript:QX1410-12587-1
0_17687: transcript:QX1410-12588-1
0_17688: transcript:QX1410-12588-2
0_17689: transcript:QX1410-12588-3
0_17690: transcript:QX1410-12589-1
0_17691: transcript:QX1410-12589-2
0_17692: transcript:QX1410-12590-1
0_17693: transcript:QX1410-12590-2
0_17694: transcript:QX1410-12590-3
0_17695: transcript:QX1410-12591-1
0_17696: transcript:QX1410-12591-2
0_17697: transcript:QX1410-12592-1
0_17698: transcript:QX1410-12592-2
0_17699: transcript:QX1410-12593-1
0_17700: transcript:QX1410-12593-2
0_17701: transcript:QX1410-12593-3
0_17702: transcript:QX1410-12593-4
0_17703: transcript:QX1410-12593-5
0_17704: transcript:QX1410-12593-6
0_17705: transcript:QX1410-12593-7
0_17706: transcript:QX1410-12594-1
0_17707: transcript:QX1410-12595-1
0_17708: transcript:QX1410-12595-2
0_17709: transcript:QX1410-12596-1
0_17710: transcript:QX1410-12597-1
0_17711: transcript:QX1410-12598-1
0_17712: transcript:QX1410-12599-1
0_17713: transcript:QX1410-12600-1
0_17714: transcript:QX1410-12600-2
0_17715: transcript:QX1410-12601-1
0_17716: transcript:QX1410-12601-2
0_17717: transcript:QX1410-12602-1
0_17718: transcript:QX1410-12602-2
0_17719: transcript:QX1410-12603-1
0_17720: transcript:QX1410-12604-1
0_17721: transcript:QX1410-12604-2
0_17722: transcript:QX1410-12604-3
0_17723: transcript:QX1410-12604-4
0_17724: transcript:QX1410-12605-1
0_17725: transcript:QX1410-12605-2
0_17726: transcript:QX1410-12606-1
0_17727: transcript:QX1410-12606-2
0_17728: transcript:QX1410-12606-3
0_17729: transcript:QX1410-12607-1
0_17730: transcript:QX1410-12608-1
0_17731: transcript:QX1410-12609-1
0_17732: transcript:QX1410-12610-1
0_17733: transcript:QX1410-12610-2
0_17734: transcript:QX1410-12611-1
0_17735: transcript:QX1410-12611-2
0_17736: transcript:QX1410-12612-1
0_17737: transcript:QX1410-12613-1
0_17738: transcript:QX1410-12614-1
0_17739: transcript:QX1410-12615-1
0_17740: transcript:QX1410-12616-1
0_17741: transcript:QX1410-12616-2
0_17742: transcript:QX1410-12617-1
0_17743: transcript:QX1410-12618-1
0_17744: transcript:QX1410-12619-1
0_17745: transcript:QX1410-12620-1
0_17746: transcript:QX1410-12621-1
0_17747: transcript:QX1410-12622-1
0_17748: transcript:QX1410-12623-1
0_17749: transcript:QX1410-12624-1
0_17750: transcript:QX1410-12624-2
0_17751: transcript:QX1410-12625-1
0_17752: transcript:QX1410-12626-1
0_17753: transcript:QX1410-12627-1
0_17754: transcript:QX1410-12627-2
0_17755: transcript:QX1410-12628-1
0_17756: transcript:QX1410-12629-1
0_17757: transcript:QX1410-12629-2
0_17758: transcript:QX1410-12630-1
0_17759: transcript:QX1410-12631-1
0_17760: transcript:QX1410-12632-1
0_17761: transcript:QX1410-12632-2
0_17762: transcript:QX1410-12633-1
0_17763: transcript:QX1410-12633-2
0_17764: transcript:QX1410-12634-1
0_17765: transcript:QX1410-12635-1
0_17766: transcript:QX1410-12636-1
0_17767: transcript:QX1410-12637-1
0_17768: transcript:QX1410-12638-1
0_17769: transcript:QX1410-12638-2
0_17770: transcript:QX1410-12639-1
0_17771: transcript:QX1410-12639-2
0_17772: transcript:QX1410-12639-3
0_17773: transcript:QX1410-12640-1
0_17774: transcript:QX1410-12641-1
0_17775: transcript:QX1410-12641-2
0_17776: transcript:QX1410-12642-1
0_17777: transcript:QX1410-12643-1
0_17778: transcript:QX1410-12644-1
0_17779: transcript:QX1410-12645-1
0_17780: transcript:QX1410-12645-2
0_17781: transcript:QX1410-12646-1
0_17782: transcript:QX1410-12646-2
0_17783: transcript:QX1410-12646-3
0_17784: transcript:QX1410-12646-4
0_17785: transcript:QX1410-12647-1
0_17786: transcript:QX1410-12647-2
0_17787: transcript:QX1410-12647-3
0_17788: transcript:QX1410-12648-1
0_17789: transcript:QX1410-12649-1
0_17790: transcript:QX1410-12650-1
0_17791: transcript:QX1410-12651-1
0_17792: transcript:QX1410-12652-1
0_17793: transcript:QX1410-12653-1
0_17794: transcript:QX1410-12654-1
0_17795: transcript:QX1410-12655-1
0_17796: transcript:QX1410-12656-1
0_17797: transcript:QX1410-12657-1
0_17798: transcript:QX1410-12658-1
0_17799: transcript:QX1410-12659-1
0_17800: transcript:QX1410-12659-2
0_17801: transcript:QX1410-12660-1
0_17802: transcript:QX1410-12661-1
0_17803: transcript:QX1410-12661-2
0_17804: transcript:QX1410-12662-1
0_17805: transcript:QX1410-12662-2
0_17806: transcript:QX1410-12663-1
0_17807: transcript:QX1410-12663-2
0_17808: transcript:QX1410-12663-3
0_17809: transcript:QX1410-12663-4
0_17810: transcript:QX1410-12664-1
0_17811: transcript:QX1410-12665-1
0_17812: transcript:QX1410-12666-1
0_17813: transcript:QX1410-12666-2
0_17814: transcript:QX1410-12667-1
0_17815: transcript:QX1410-12668-1
0_17816: transcript:QX1410-12669-1
0_17817: transcript:QX1410-12669-2
0_17818: transcript:QX1410-12670-1
0_17819: transcript:QX1410-12671-1
0_17820: transcript:QX1410-12671-2
0_17821: transcript:QX1410-12671-3
0_17822: transcript:QX1410-12672-1
0_17823: transcript:QX1410-12673-1
0_17824: transcript:QX1410-12673-2
0_17825: transcript:QX1410-12673-3
0_17826: transcript:QX1410-12674-1
0_17827: transcript:QX1410-12675-1
0_17828: transcript:QX1410-12676-1
0_17829: transcript:QX1410-12677-1
0_17830: transcript:QX1410-12678-1
0_17831: transcript:QX1410-12678-2
0_17832: transcript:QX1410-12679-1
0_17833: transcript:QX1410-12679-2
0_17834: transcript:QX1410-12679-3
0_17835: transcript:QX1410-12680-1
0_17836: transcript:QX1410-12680-2
0_17837: transcript:QX1410-12680-3
0_17838: transcript:QX1410-12681-1
0_17839: transcript:QX1410-12681-2
0_17840: transcript:QX1410-12681-3
0_17841: transcript:QX1410-12681-4
0_17842: transcript:QX1410-12681-5
0_17843: transcript:QX1410-12681-6
0_17844: transcript:QX1410-12681-7
0_17845: transcript:QX1410-12682-1
0_17846: transcript:QX1410-12683-1
0_17847: transcript:QX1410-12683-2
0_17848: transcript:QX1410-12684-1
0_17849: transcript:QX1410-12685-1
0_17850: transcript:QX1410-12686-1
0_17851: transcript:QX1410-12687-1
0_17852: transcript:QX1410-12688-1
0_17853: transcript:QX1410-12689-1
0_17854: transcript:QX1410-12689-2
0_17855: transcript:QX1410-12689-3
0_17856: transcript:QX1410-12690-1
0_17857: transcript:QX1410-12691-1
0_17858: transcript:QX1410-12692-1
0_17859: transcript:QX1410-12693-1
0_17860: transcript:QX1410-12694-1
0_17861: transcript:QX1410-12695-1
0_17862: transcript:QX1410-12696-1
0_17863: transcript:QX1410-12696-2
0_17864: transcript:QX1410-12697-1
0_17865: transcript:QX1410-12697-2
0_17866: transcript:QX1410-12698-1
0_17867: transcript:QX1410-12698-2
0_17868: transcript:QX1410-12699-1
0_17869: transcript:QX1410-12700-1
0_17870: transcript:QX1410-12701-1
0_17871: transcript:QX1410-12702-1
0_17872: transcript:QX1410-12702-2
0_17873: transcript:QX1410-12703-1
0_17874: transcript:QX1410-12704-1
0_17875: transcript:QX1410-12705-1
0_17876: transcript:QX1410-12706-1
0_17877: transcript:QX1410-12707-1
0_17878: transcript:QX1410-12707-2
0_17879: transcript:QX1410-12708-1
0_17880: transcript:QX1410-12708-2
0_17881: transcript:QX1410-12708-3
0_17882: transcript:QX1410-12709-1
0_17883: transcript:QX1410-12709-2
0_17884: transcript:QX1410-12710-1
0_17885: transcript:QX1410-12710-2
0_17886: transcript:QX1410-12711-1
0_17887: transcript:QX1410-12712-1
0_17888: transcript:QX1410-12713-1
0_17889: transcript:QX1410-12713-2
0_17890: transcript:QX1410-12713-3
0_17891: transcript:QX1410-12714-1
0_17892: transcript:QX1410-12714-2
0_17893: transcript:QX1410-12714-3
0_17894: transcript:QX1410-12715-1
0_17895: transcript:QX1410-12716-1
0_17896: transcript:QX1410-12716-2
0_17897: transcript:QX1410-12716-3
0_17898: transcript:QX1410-12717-1
0_17899: transcript:QX1410-12718-1
0_17900: transcript:QX1410-12719-1
0_17901: transcript:QX1410-12719-2
0_17902: transcript:QX1410-12719-3
0_17903: transcript:QX1410-12719-4
0_17904: transcript:QX1410-12720-1
0_17905: transcript:QX1410-12721-1
0_17906: transcript:QX1410-12722-1
0_17907: transcript:QX1410-12722-2
0_17908: transcript:QX1410-12722-3
0_17909: transcript:QX1410-12722-4
0_17910: transcript:QX1410-12722-5
0_17911: transcript:QX1410-12723-1
0_17912: transcript:QX1410-12723-2
0_17913: transcript:QX1410-12724-1
0_17914: transcript:QX1410-12725-1
0_17915: transcript:QX1410-12726-1
0_17916: transcript:QX1410-12727-1
0_17917: transcript:QX1410-12728-1
0_17918: transcript:QX1410-12729-1
0_17919: transcript:QX1410-12729-2
0_17920: transcript:QX1410-12730-1
0_17921: transcript:QX1410-12731-1
0_17922: transcript:QX1410-12732-1
0_17923: transcript:QX1410-12733-1
0_17924: transcript:QX1410-12734-1
0_17925: transcript:QX1410-12735-1
0_17926: transcript:QX1410-12736-1
0_17927: transcript:QX1410-12736-2
0_17928: transcript:QX1410-12737-1
0_17929: transcript:QX1410-12738-1
0_17930: transcript:QX1410-12738-2
0_17931: transcript:QX1410-12739-1
0_17932: transcript:QX1410-12740-1
0_17933: transcript:QX1410-12740-2
0_17934: transcript:QX1410-12741-1
0_17935: transcript:QX1410-12741-2
0_17936: transcript:QX1410-12741-3
0_17937: transcript:QX1410-12741-4
0_17938: transcript:QX1410-12741-5
0_17939: transcript:QX1410-12742-1
0_17940: transcript:QX1410-12743-1
0_17941: transcript:QX1410-12743-2
0_17942: transcript:QX1410-12743-3
0_17943: transcript:QX1410-12744-1
0_17944: transcript:QX1410-12745-1
0_17945: transcript:QX1410-12746-1
0_17946: transcript:QX1410-12746-2
0_17947: transcript:QX1410-12747-1
0_17948: transcript:QX1410-12748-1
0_17949: transcript:QX1410-12749-1
0_17950: transcript:QX1410-12749-2
0_17951: transcript:QX1410-12750-1
0_17952: transcript:QX1410-12751-1
0_17953: transcript:QX1410-12752-1
0_17954: transcript:QX1410-12752-2
0_17955: transcript:QX1410-12753-1
0_17956: transcript:QX1410-12754-1
0_17957: transcript:QX1410-12754-2
0_17958: transcript:QX1410-12754-3
0_17959: transcript:QX1410-12755-1
0_17960: transcript:QX1410-12756-1
0_17961: transcript:QX1410-12756-2
0_17962: transcript:QX1410-12757-1
0_17963: transcript:QX1410-12757-2
0_17964: transcript:QX1410-12758-1
0_17965: transcript:QX1410-12759-1
0_17966: transcript:QX1410-12760-1
0_17967: transcript:QX1410-12761-1
0_17968: transcript:QX1410-12762-1
0_17969: transcript:QX1410-12763-1
0_17970: transcript:QX1410-12764-1
0_17971: transcript:QX1410-12765-1
0_17972: transcript:QX1410-12766-1
